district,state,charter,enroll,lep,iep,frpl,white,expenditures
WARE COUNTY,Georgia,3-All associated schools are noncharter,6169,132,970,5557,3176,70398000
WARREN COUNTY,Georgia,3-All associated schools are noncharter,637,NA,73,628,43,8235000
WASHINGTON COUNTY,Georgia,3-All associated schools are noncharter,3100,14,337,2561,952,33066000
WAYNE COUNTY,Georgia,3-All associated schools are noncharter,5575,105,723,3856,3574,65854000
WEBSTER COUNTY,Georgia,3-All associated schools are noncharter,398,3,39,226,186,4797000
WEST GEORGIA RESA,Georgia,†,NA,NA,NA,NA,NA,8095000
WHEELER COUNTY,Georgia,3-All associated schools are noncharter,999,39,121,993,569,11403000
WHITE COUNTY,Georgia,3-All associated schools are noncharter,3844,56,484,2189,3468,42626000
WHITFIELD COUNTY,Georgia,3-All associated schools are noncharter,13278,1810,1596,9497,7054,145473000
WILCOX COUNTY,Georgia,3-All associated schools are noncharter,1215,8,131,1141,686,12650000
WILKES COUNTY,Georgia,3-All associated schools are noncharter,1605,16,196,1505,566,18547000
WILKINSON COUNTY,Georgia,3-All associated schools are noncharter,1520,23,152,1435,555,19372000
WORTH COUNTY,Georgia,3-All associated schools are noncharter,3366,36,314,3117,2001,32791000
Totals:,n/a,n/a,1757237,112006,202308,1096426,721134,19356755000
